element,r_core,r_boundary,dominant_regime,frac_damage_before_nonreturn,frac_damage_only,frac_nonreturn_before_damage,frac_coupled,frac_no_transition,mean_first_damage,mean_first_nonreturn,mean_final_damage,mean_max_r,erc_rank,model_axis,freq_cm1,delta_axis,delta_freq
I,1.4412894051891445,2.2746773751288365,no-transition,0.4311111111111111,0.0977777777777777,0.0133333333333333,0.0177777777777777,0.44,2.7254761904761904,2.683942307692308,4.543181924818463,2.6670955652341632,25,25,214,-28,-1366
Br,1.626778355869405,2.7859233903269778,no-transition,0.3911111111111111,0.1466666666666666,0.0,0.0,0.4622222222222222,2.810578512396694,2.8182954545454546,3.815772035649565,2.599720860586308,32,32,325,-21,-1255
H,1.9856119055969264,2.8625672186690125,no-transition,0.3511111111111111,0.1022222222222222,0.0,0.0088888888888888,0.5377777777777778,2.8858653846153848,2.8225925925925925,2.749495059803916,2.497649606930909,43,43,4401,-10,2821
O,1.8281943454140903,3.4663242049803253,no-transition,0.2977777777777777,0.1955555555555555,0.0,0.0,0.5066666666666667,2.846396396396396,2.965970149253732,3.171481574740449,2.5386019198387344,53,53,1580,0,0
Cl,1.8899663101570447,3.568111194856177,no-transition,0.28,0.2,0.0,0.0,0.52,2.85787037037037,2.9765079365079368,2.998447447128471,2.5218966121089523,54,54,560,1,-1020
N,2.0440081275108737,2.7461280628963545,no-transition,0.2444444444444444,0.0711111111111111,0.1155555555555555,0.0266666666666666,0.5422222222222223,2.9164077669902917,2.825172413793104,2.607725953040372,2.4837310246077338,60,60,2359,7,779
F,3.327692952196485,4.500452675854631,no-transition,0.1466666666666666,0.1066666666666666,0.0,0.0,0.7466666666666667,3.22280701754386,3.196969696969697,0.7551440927478641,2.283621110151619,71,71,917,18,-663
