element,r_core,r_boundary,dominant_regime,frac_damage_before_nonreturn,frac_damage_only,frac_nonreturn_before_damage,frac_coupled,frac_no_transition,mean_first_damage,mean_first_nonreturn,mean_final_damage,mean_max_r,erc_rank,model_axis
Es,0.1733106051327783,0.7252376743590081,damage-before-nonreturn,0.5911111111111111,0.1066666666666666,0.1688888888888889,0.0222222222222222,0.1111111111111111,2.17295,2.1392045454545454,23.35010483236008,4.174783577732516,1,1
Fm,0.1814571930727517,0.7230286827982138,damage-before-nonreturn,0.5822222222222222,0.1066666666666666,0.1822222222222222,0.0177777777777777,0.1111111111111111,2.18635,2.1400568181818183,22.95861841445226,4.143833668782061,2,2
Cd,0.7969019406817291,1.6770134203459566,damage-before-nonreturn,0.5644444444444444,0.1333333333333333,0.0044444444444444,0.0133333333333333,0.2844444444444444,2.536583850931677,2.5170992366412213,9.006471040401653,3.0499617571819,3,3
Fl,0.8007343324809743,1.805404310691917,damage-before-nonreturn,0.5555555555555556,0.16,0.0,0.0,0.2844444444444444,2.540124223602485,2.54416,8.964789501372747,3.046559845480008,4,4
Hs,0.7597368234057191,1.5875750993709985,damage-before-nonreturn,0.5555555555555556,0.1244444444444444,0.0266666666666666,0.0177777777777777,0.2755555555555555,2.520429447852761,2.496074074074074,9.425439912105388,3.0840373183757896,5,5
Ds,0.8006941184832189,1.6147453208763505,damage-before-nonreturn,0.5511111111111111,0.1155555555555555,0.0355555555555555,0.0133333333333333,0.2844444444444444,2.5400621118012423,2.519111111111111,8.96522542309339,3.046595439304136,6,6
Bk,0.2124228467617968,0.7365737296107686,damage-before-nonreturn,0.5377777777777778,0.1066666666666666,0.2222222222222222,0.0133333333333333,0.12,2.21459595959596,2.1364942528735638,21.572941449423443,4.034861383957459,7,7
Ts,0.9387215095384126,1.855577325226162,damage-before-nonreturn,0.5333333333333333,0.1288888888888889,0.0,0.0133333333333333,0.3244444444444444,2.570263157894737,2.570325203252033,7.629820090973189,2.9362502494145786,8,8
Cf,0.22424774787717,0.7420178600953669,damage-before-nonreturn,0.5155555555555555,0.1066666666666666,0.2355555555555555,0.0222222222222222,0.12,2.233030303030303,2.1436206896551724,21.08225578639748,3.9964601321515936,9,9
Am,0.1877711513206846,0.6822031864441308,damage-before-nonreturn,0.5111111111111111,0.0933333333333333,0.2533333333333333,0.0266666666666666,0.1155555555555555,2.1859798994974877,2.125056179775281,22.663335680247304,4.120538765241396,10,10
Nh,0.753916854226822,1.4746625611390876,damage-before-nonreturn,0.5111111111111111,0.0977777777777777,0.0888888888888888,0.0311111111111111,0.2711111111111111,2.522317073170732,2.4825352112676056,9.493561827192424,3.089559094160567,11,11
Ru,0.5919431752514951,1.2537337187034927,damage-before-nonreturn,0.5022222222222222,0.0888888888888888,0.1377777777777777,0.0266666666666666,0.2444444444444444,2.422,2.3822666666666668,11.717529635881183,3.267411039651101,12,12
Na,1.1493932407313536,2.101762113843582,damage-before-nonreturn,0.4977777777777777,0.1377777777777777,0.0,0.0,0.3644444444444444,2.65958041958042,2.635,6.074253808703648,2.803528615534564,13,13
Ge,0.8226261126167784,1.5751188446974425,damage-before-nonreturn,0.4977777777777777,0.1111111111111111,0.0622222222222222,0.04,0.2888888888888888,2.5491875,2.4962962962962965,8.731903733486568,3.027510674641158,14,14
Rb,0.7835868675390059,1.4878638663699175,damage-before-nonreturn,0.4977777777777777,0.0977777777777777,0.1066666666666666,0.0177777777777777,0.28,2.532098765432099,2.4800714285714287,9.15345658222862,3.061940268823832,15,15
Mt,0.8877444953347141,1.6435785003947,damage-before-nonreturn,0.4933333333333333,0.1111111111111111,0.0711111111111111,0.0177777777777777,0.3066666666666666,2.569038461538462,2.5074809160305347,8.087980847805275,2.974430259769814,16,16
Tl,0.990027848262822,1.7782709787871696,damage-before-nonreturn,0.4888888888888889,0.1111111111111111,0.0488888888888888,0.0177777777777777,0.3333333333333333,2.5962666666666667,2.55144,7.204775967553052,2.9004700069530984,17,17
Cn,0.9661485879291848,1.7295371512573798,damage-before-nonreturn,0.48,0.1066666666666666,0.0577777777777777,0.0266666666666666,0.3288888888888889,2.583443708609272,2.5340944881889764,7.398349203332008,2.9168116510024427,18,18
